"Occ","Freq","CoFreq","Score","MeanDist"
"undiminished",1,1,2.3343,6.0
"treacheries",1,1,2.3343,8.0
"transaction-for",1,1,2.3343,0.0
"tradesman",1,1,2.3343,4.0
"surgeon-general",1,1,2.3343,1.0
"sundering",1,1,2.3343,2.0
"subordinates",1,1,2.3343,5.0
"stone-an",1,1,2.3343,8.0
"stalked",1,1,2.3343,6.0
"smoke-stain",1,1,2.3343,1.0
"signified",1,1,2.3343,7.0
"Seal",1,1,2.3343,2.0
"Redivivus",1,1,2.3343,7.0
"recommending",1,1,2.3343,5.0
"rack-renters",1,1,2.3343,6.0
"principalities",1,1,2.3343,2.0
"petered",1,1,2.3343,4.0
"Páirc",1,1,2.3343,7.0
"Olivers",1,1,2.3343,4.0
"obelisk",1,1,2.3343,7.0
"O'Twohill",1,1,2.3343,3.0
"Moving",1,1,2.3343,7.0
"millionaire's",1,1,2.3343,2.0
"militantly",1,1,2.3343,6.0
"mid-August",1,1,2.3343,4.0
"-mark",1,1,2.3343,3.0
"mantling",1,1,2.3343,8.0
"mail-dad",1,1,2.3343,2.0
"king-that",1,1,2.3343,7.0
"Irishism",1,1,2.3343,4.0
"horrific",1,1,2.3343,2.0
"hell-hounds",1,1,2.3343,1.0
"Harvest",1,1,2.3343,6.0
"Half-measures",1,1,2.3343,1.0
"guiltless",1,1,2.3343,0.0
"grand-nephew",1,1,2.3343,2.0
"gallions",1,1,2.3343,6.0
"exploding",1,1,2.3343,3.0
"dedicating",1,1,2.3343,3.0
"Cromwells",1,1,2.3343,6.0
"complemente",1,1,2.3343,3.0
"chopped",1,1,2.3343,5.0
"Chances",1,1,2.3343,5.0
"Carthaigh",1,1,2.3343,7.0
"campaign-the",1,1,2.3343,1.0
"Brabla",1,1,2.3343,8.0
"bottlenecks",1,1,2.3343,4.0
"Anointed",1,1,2.3343,7.0
"amy",1,1,2.3343,5.0
"adding-up",1,1,2.3343,5.0
"act-we",1,1,2.3343,5.0
"850",1,1,2.3343,4.0
"1oo",1,1,2.3343,7.0
"followers",22,2,2.3319,1.0
"Thomas",146,4,2.305,0.0
"Milton",23,2,2.2937,4.0
"parties",24,2,2.2573,4.5
"march",24,2,2.2573,2.5
"hatred",24,2,2.2573,7.0
"Ormond",25,2,2.2224,3.5
"his",4276,32,2.1686,4.75
"turn",85,3,2.1314,3.0
"Was",28,2,2.126,4.0
"secretary",29,2,2.0963,1.0
"Having",29,2,2.0963,5.5
"hanged",29,2,2.0963,6.0
"Wexford",30,2,2.0677,5.5
"Ashburton",2,1,2.0343,7.0
"Arras",2,1,2.0343,7.0
"88",2,1,2.0343,3.0
"sculptured",2,1,2.0343,4.0
"rue",2,1,2.0343,3.0
"Reviewing",2,1,2.0343,5.0
"Resistance",2,1,2.0343,7.0
"regicide",2,1,2.0343,1.0
"Plato",2,1,2.0343,8.0
"over-sea",2,1,2.0343,8.0
"meeting-place",2,1,2.0343,4.0
"malignant",2,1,2.0343,5.0
"Laundy",2,1,2.0343,7.0
"launch",2,1,2.0343,1.0
"inglorious",2,1,2.0343,6.0
"haveing",2,1,2.0343,8.0
"-God",2,1,2.0343,7.0
"exploiters",2,1,2.0343,7.0
"Esq",2,1,2.0343,1.0
"dismounted",2,1,2.0343,7.0
"damn",2,1,2.0343,4.0
"Covenant",2,1,2.0343,3.0
"complemented",2,1,2.0343,2.0
"atop",2,1,2.0343,6.0
"Wolsey",2,1,2.0343,4.0
"whereupon",2,1,2.0343,0.0
"waft",2,1,2.0343,5.0
"unnaturally",2,1,2.0343,5.0
"storming",2,1,2.0343,3.0
"steeple",2,1,2.0343,1.0
"speculators",2,1,2.0343,4.0
"Speaker",2,1,2.0343,6.0
"shirked",2,1,2.0343,3.0
