"Occurrences","Frequency","CoFrequency","Score","MeanDistance"
"surgeon-general",1,1,2.3343,1
"sundering",1,1,2.3343,2
"subordinates",1,1,2.3343,5
"stone-an",1,1,2.3343,8
"stalked",1,1,2.3343,6
"smoke-stain",1,1,2.3343,1
"signified",1,1,2.3343,7
"Seal",1,1,2.3343,2
"Redivivus",1,1,2.3343,7
"recommending",1,1,2.3343,5
"rack-renters",1,1,2.3343,6
"principalities",1,1,2.3343,2
"petered",1,1,2.3343,4
"Páirc",1,1,2.3343,7
"Olivers",1,1,2.3343,4
"obelisk",1,1,2.3343,7
"O'Twohill",1,1,2.3343,3
"Moving",1,1,2.3343,7
"millionaire's",1,1,2.3343,2
"militantly",1,1,2.3343,6
"mid-August",1,1,2.3343,4
"-mark",1,1,2.3343,3
"mantling",1,1,2.3343,8
"mail-dad",1,1,2.3343,2
"king-that",1,1,2.3343,7
"Irishism",1,1,2.3343,4
"horrific",1,1,2.3343,2
"hell-hounds",1,1,2.3343,1
"Harvest",1,1,2.3343,6
"Half-measures",1,1,2.3343,1
"guiltless",1,1,2.3343,0
"grand-nephew",1,1,2.3343,2
"gallions",1,1,2.3343,6
"exploding",1,1,2.3343,3
"dedicating",1,1,2.3343,3
"Cromwells",1,1,2.3343,6
"complemente",1,1,2.3343,3
"chopped",1,1,2.3343,5
"Chances",1,1,2.3343,5
"Carthaigh",1,1,2.3343,7
"campaign-the",1,1,2.3343,1
"Brabla",1,1,2.3343,8
"bottlenecks",1,1,2.3343,4
"Anointed",1,1,2.3343,7
"amy",1,1,2.3343,5
"adding-up",1,1,2.3343,5
"act-we",1,1,2.3343,5
"850",1,1,2.3343,4
"1oo",1,1,2.3343,7
"followers",22,2,2.3319,1
"Thomas",146,4,2.305,0
"Milton",23,2,2.2937,4
"parties",24,2,2.2573,4.5
"march",24,2,2.2573,2.5
"hatred",24,2,2.2573,7
"Ormond",25,2,2.2224,3.5
"his",4276,32,2.1686,4.75
"turn",85,3,2.1314,3
"Was",28,2,2.126,4
"secretary",29,2,2.0963,1
"Having",29,2,2.0963,5.5
"hanged",29,2,2.0963,6
"Wexford",30,2,2.0677,5.5
"Ashburton",2,1,2.0343,7
"Arras",2,1,2.0343,7
"88",2,1,2.0343,3
"sculptured",2,1,2.0343,4
"rue",2,1,2.0343,3
"Reviewing",2,1,2.0343,5
"Resistance",2,1,2.0343,7
"regicide",2,1,2.0343,1
"Plato",2,1,2.0343,8
"over-sea",2,1,2.0343,8
"meeting-place",2,1,2.0343,4
"malignant",2,1,2.0343,5
"Laundy",2,1,2.0343,7
"launch",2,1,2.0343,1
"inglorious",2,1,2.0343,6
"haveing",2,1,2.0343,8
"-God",2,1,2.0343,7
"exploiters",2,1,2.0343,7
"Esq",2,1,2.0343,1
"dismounted",2,1,2.0343,7
"damn",2,1,2.0343,4
"Covenant",2,1,2.0343,3
"complemented",2,1,2.0343,2
"atop",2,1,2.0343,6
"Wolsey",2,1,2.0343,4
"whereupon",2,1,2.0343,0
"waft",2,1,2.0343,5
"unnaturally",2,1,2.0343,5
"storming",2,1,2.0343,3
"steeple",2,1,2.0343,1
"speculators",2,1,2.0343,4
"Speaker",2,1,2.0343,6
"shirked",2,1,2.0343,3
